item_idx,recipe_id
383,992
384,1005
385,1008
386,1018
387,1024
388,1033
389,1035
390,1042
391,1045
392,1048
393,1069
394,1073
395,1074
396,1075
397,1079
398,1100
399,1103
400,1106
401,1127
402,1128
403,1129
404,1133
405,1136
406,1141
407,1145
408,1148
409,1151
410,1155
411,1157
412,1162
413,1168
414,1183
415,1184
416,1196
417,1201
418,1204
419,1207
420,1217
421,1229
422,1232
423,1236
424,1246
425,1249
426,1259
427,1267
428,1293
429,1296
430,1303
431,1306
432,1317
433,1320
434,1322
435,1330
436,1355
437,1356
438,1379
439,1396
440,1399
441,1406
442,1420
443,1423
444,1437
445,1438
446,1442
447,1446
448,1465
449,1481
450,1506
451,1507
452,1522
453,1524
454,1525
455,1528
456,1541
457,1550
458,1552
459,1557
460,1560
461,1562
462,1564
463,1574
464,1576
465,1578
466,1580
467,1581
468,1587
469,1590
470,1593
471,1595
472,1599
473,1600
474,1602
475,1612
476,1630
477,1633
478,1649
479,1660
480,1662
481,1693
482,1696
483,1699
484,1712
485,1721
486,1725
487,1746
488,1760
489,1797
490,1823
491,1825
492,1832
493,1841
494,1857
495,1861
496,1870
497,1873
498,1878
499,1881
500,1883
501,1888
502,1902
503,1904
504,1913
505,1923
506,1940
507,1945
508,1955
509,1967
510,1975
511,1982
512,1985
513,1999
514,2002
515,2015
516,2019
517,2032
518,2056
519,2057
520,2066
521,2068
522,2072
523,2075
524,2086
525,2087
526,2092
527,2100
528,2105
529,2110
530,2111
531,2112
532,2113
533,2121
534,2122
535,2123
536,2129
537,2130
538,2131
539,2137
540,2141
541,2142
542,2144
543,2146
544,2155
545,2164
546,2175
547,2188
548,2189
549,2204
550,2218
551,2238
552,2255
553,2267
554,2279
555,2284
556,2306
557,2309
558,2329
559,2364
560,2366
561,2387
562,2388
563,2393
564,2405
565,2417
566,2420
567,2425
568,2438
569,2450
570,2456
571,2462
572,2474
573,2484
574,2495
575,2496
576,2498
577,2501
578,2502
579,2509
580,2510
581,2514
582,2515
583,2518
584,2519
585,2520
586,2526
587,2528
588,2531
589,2533
590,2535
591,2537
592,2539
593,2540
594,2541
595,2543
596,2549
597,2553
598,2555
599,2560
600,2561
601,2571
602,2574
603,2576
604,2577
605,2578
606,2579
607,2582
608,2583
609,2588
610,2592
611,2595
612,2598
613,2604
614,2610
615,2611
616,2614
617,2615
618,2621
619,2622
620,2625
621,2626
622,2628
623,2630
624,2631
625,2632
626,2633
627,2634
628,2635
629,2637
630,2639
631,2641
632,2643
633,2644
634,2645
635,2646
636,2647
637,2648
638,2650
639,2652
640,2653
641,2654
642,2655
643,2658
644,2659
645,2660
646,2662
647,2663
648,2665
649,2668
650,2670
651,2673
652,2674
653,2675
654,2677
655,2678
656,2679
657,2680
658,2681
659,2684
660,2686
661,2688
662,2690
663,2691
664,2692
665,2694
666,2695
667,2698
668,2699
669,2700
670,2703
671,2704
672,2705
673,2707
674,2708
675,2710
676,2712
677,2713
678,2714
679,2718
680,2720
681,2724
682,2725
683,2726
684,2727
685,2728
686,2731
687,2734
688,2737
689,2739
690,2741
691,2743
692,2746
693,2747
694,2748
695,2751
696,2752
697,2754
698,2755
699,2757
700,2758
701,2759
702,2761
703,2762
704,2767
705,2770
706,2771
707,2772
708,2774
709,2776
710,2780
711,2781
712,2783
713,2785
714,2788
715,2789
716,2791
717,2794
718,2796
719,2797
720,2800
721,2801
722,2802
723,2803
724,2804
725,2806
726,2808
727,2809
728,2814
729,2815
730,2819
731,2821
732,2823
733,2825
734,2827
735,2828
736,2830
737,2831
738,2835
739,2836
740,2839
741,2841
742,2842
743,2844
744,2847
745,2848
746,2853
747,2856
748,2859
749,2862
750,2863
751,2864
752,2865
753,2866
754,2869
755,2872
756,2873
757,2878
758,2880
759,2881
760,2885
761,2886
762,2889
763,2891
764,2893
765,2895
766,2897
767,2898
768,2900
769,2901
770,2902
771,2903
772,2913
773,2914
774,2916
775,2919
776,2920
777,2922
778,2923
779,2925
780,2930
781,2931
782,2934
783,2935
784,2936
785,2937
786,2939
787,2940
788,2941
789,2942
790,2945
791,2950
792,2953
793,2957
794,2958
795,2959
796,2960
797,2963
798,2969
799,2970
800,2973
801,2974
802,2979
803,2980
804,2982
805,2983
806,2985
807,2986
808,2987
809,2988
810,2989
811,2990
812,2994
813,2996
814,2998
815,3000
816,3002
817,3003
818,3004
819,3005
820,3006
821,3007
822,3009
823,3010
824,3014
825,3016
826,3017
827,3020
828,3021
829,3023
830,3027
831,3030
832,3032
833,3033
834,3034
835,3037
836,3043
837,3044
838,3045
839,3049
840,3051
841,3055
842,3056
843,3057
844,3058
845,3061
846,3062
847,3063
848,3064
849,3065
850,3066
851,3069
852,3079
853,3080
854,3082
855,3083
856,3084
857,3085
858,3090
859,3091
860,3092
861,3094
862,3095
863,3101
864,3103
865,3110
866,3115
867,3116
868,3119
869,3121
870,3131
871,3133
872,3134
873,3135
874,3137
875,3138
876,3140
877,3141
878,3143
879,3144
