item_idx,recipe_id
381,1042
382,1048
383,1069
384,1073
385,1074
386,1079
387,1100
388,1103
389,1106
390,1127
391,1128
392,1129
393,1133
394,1136
395,1141
396,1145
397,1148
398,1151
399,1155
400,1157
401,1162
402,1168
403,1183
404,1184
405,1196
406,1201
407,1204
408,1207
409,1217
410,1229
411,1232
412,1236
413,1246
414,1249
415,1259
416,1267
417,1293
418,1296
419,1303
420,1306
421,1317
422,1320
423,1322
424,1330
425,1355
426,1356
427,1379
428,1396
429,1399
430,1406
431,1420
432,1423
433,1437
434,1438
435,1442
436,1446
437,1465
438,1481
439,1506
440,1507
441,1522
442,1524
443,1525
444,1528
445,1541
446,1550
447,1552
448,1557
449,1560
450,1562
451,1564
452,1574
453,1576
454,1577
455,1578
456,1580
457,1581
458,1587
459,1590
460,1593
461,1595
462,1599
463,1600
464,1602
465,1612
466,1630
467,1633
468,1649
469,1660
470,1662
471,1693
472,1696
473,1699
474,1712
475,1721
476,1725
477,1746
478,1760
479,1797
480,1823
481,1825
482,1832
483,1841
484,1857
485,1861
486,1870
487,1873
488,1878
489,1881
490,1883
491,1888
492,1902
493,1904
494,1913
495,1923
496,1940
497,1945
498,1955
499,1967
500,1975
501,1982
502,1985
503,1999
504,2002
505,2015
506,2019
507,2032
508,2056
509,2057
510,2066
511,2068
512,2072
513,2075
514,2086
515,2087
516,2092
517,2100
518,2105
519,2110
520,2111
521,2112
522,2113
523,2121
524,2122
525,2123
526,2129
527,2130
528,2131
529,2137
530,2141
531,2142
532,2144
533,2146
534,2155
535,2164
536,2175
537,2188
538,2189
539,2204
540,2218
541,2238
542,2255
543,2267
544,2279
545,2284
546,2306
547,2309
548,2329
549,2364
550,2366
551,2387
552,2388
553,2393
554,2405
555,2417
556,2420
557,2425
558,2438
559,2450
560,2462
561,2474
562,2484
563,2495
564,2496
565,2498
566,2501
567,2502
568,2509
569,2510
570,2514
571,2515
572,2518
573,2519
574,2520
575,2526
576,2528
577,2531
578,2533
579,2535
580,2537
581,2539
582,2540
583,2541
584,2543
585,2549
586,2553
587,2555
588,2560
589,2561
590,2571
591,2574
592,2576
593,2577
594,2578
595,2579
596,2582
597,2583
598,2588
599,2592
600,2595
601,2598
602,2604
603,2610
604,2611
605,2614
606,2615
607,2621
608,2622
609,2625
610,2626
611,2630
612,2631
613,2632
614,2633
615,2634
616,2635
617,2637
618,2639
619,2641
620,2643
621,2644
622,2645
623,2646
624,2647
625,2648
626,2650
627,2652
628,2653
629,2654
630,2655
631,2658
632,2659
633,2660
634,2662
635,2663
636,2665
637,2668
638,2670
639,2673
640,2674
641,2675
642,2677
643,2678
644,2679
645,2680
646,2681
647,2684
648,2686
649,2688
650,2690
651,2691
652,2692
653,2694
654,2695
655,2700
656,2703
657,2704
658,2705
659,2707
660,2708
661,2710
662,2712
663,2713
664,2714
665,2718
666,2720
667,2724
668,2725
669,2726
670,2727
671,2728
672,2731
673,2734
674,2737
675,2739
676,2741
677,2743
678,2746
679,2747
680,2748
681,2751
682,2752
683,2754
684,2755
685,2757
686,2758
687,2759
688,2761
689,2762
690,2767
691,2770
692,2771
693,2772
694,2774
695,2776
696,2780
697,2781
698,2783
699,2785
700,2788
701,2789
702,2791
703,2794
704,2796
705,2797
706,2800
707,2802
708,2803
709,2804
710,2806
711,2808
712,2809
713,2814
714,2815
715,2819
716,2821
717,2823
718,2825
719,2827
720,2828
721,2830
722,2831
723,2835
724,2836
725,2839
726,2841
727,2842
728,2844
729,2847
730,2848
731,2853
732,2856
733,2859
734,2862
735,2863
736,2864
737,2865
738,2866
739,2869
740,2872
741,2873
742,2878
743,2880
744,2885
745,2886
746,2889
747,2891
748,2893
749,2895
750,2897
751,2898
752,2900
753,2901
754,2902
755,2903
756,2913
757,2914
758,2916
759,2919
760,2920
761,2922
762,2923
763,2925
764,2930
765,2931
766,2935
767,2936
768,2937
769,2939
770,2940
771,2941
772,2942
773,2945
774,2950
775,2953
776,2957
777,2958
778,2959
779,2960
780,2963
781,2969
782,2970
783,2973
784,2974
785,2980
786,2982
787,2983
788,2985
789,2986
790,2987
791,2988
792,2989
793,2990
794,2994
795,2996
796,2998
797,3000
798,3003
799,3004
800,3005
801,3006
802,3007
803,3009
804,3010
805,3014
806,3016
807,3017
808,3020
809,3021
810,3023
811,3027
812,3030
813,3032
814,3033
815,3034
816,3037
817,3043
818,3044
819,3045
820,3049
821,3051
822,3055
823,3056
824,3057
825,3058
826,3061
827,3062
828,3063
829,3064
830,3065
831,3066
832,3069
833,3079
834,3080
835,3082
836,3083
837,3084
838,3085
839,3090
840,3091
841,3092
842,3094
843,3095
844,3101
845,3103
846,3110
847,3115
848,3116
849,3119
850,3121
851,3133
852,3134
853,3135
854,3137
855,3138
856,3140
857,3141
858,3143
859,3144
860,3145
861,3146
862,3149
863,3154
864,3157
865,3158
866,3159
867,3160
868,3161
869,3163
870,3164
871,3166
872,3168
873,3173
874,3179
875,3180
876,3182
877,3184
